n_hosts,Oracle_minus_Backfill_mean,Oracle_minus_Backfill_ci,pct_reps_Oracle_beats_Backfill,RF_SRPT_minus_Oracle_mean,RF_SRPT_minus_Oracle_ci,pct_reps_RF_SRPT_beats_Oracle
120,-0.5722697662601633,"(-5.214692454268276, 8.003048771598394e-06)",75.66666666666667,0.6056683943089439,"(-0.011463795731702218, 7.565715701219496)",9.666666666666666
64,-4.833478455284554,"(-82.86232126524416, 33.04293559451233)",57.666666666666664,13.012488262195113,"(-1.62508003048767, 89.0176943597559)",4.0
