policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,boot_rep
EASY_Backfill,656,719.2487500000001,2644.0300000000007,11354.0,0.4425607008910223,0.006590909090909091,18,120,0
EASY_Backfill,656,172.97804878048782,663.25,10115.0,0.29220537362003624,0.003430984428609132,20,120,1
EASY_Backfill,656,103.23239329268293,357.0,10115.0,0.1832968229939035,0.004401204540189946,0,120,2
EASY_Backfill,656,203.66268292682926,1053.25,9047.0,0.30980486625400694,0.0067733990147783255,0,120,3
EASY_Backfill,656,120.4326524390244,399.25,10115.0,0.18179867049761084,0.006197790353004581,1,120,4
EASY_Backfill,656,1168.4521493902441,4694.01,12919.01,0.3975187501467475,0.0033127208480565372,5,120,5
EASY_Backfill,656,674.0674695121952,2573.75,11126.01,0.37363184799252674,0.003706645485835319,22,120,6
EASY_Backfill,656,164.26036585365853,755.0,10115.0,0.3188619665513263,0.01823109140182311,19,120,7
EASY_Backfill,656,163.40504573170733,632.0,10115.0,0.3268156100675564,0.0031660983925962008,17,120,8
EASY_Backfill,656,1233.1661280487806,4182.0,13035.0,0.35517291267101375,0.0036131774707757703,9,120,9
EASY_Backfill,656,173.6944817073171,928.75,10115.0,0.2306399901136925,0.016304347826086956,9,120,10
EASY_Backfill,656,130.39448170731708,453.5,6257.0,0.25428205076980437,0.005643075476134493,0,120,11
EASY_Backfill,656,103.01003048780488,424.25,5583.0,0.25755462452982264,0.006519208381839348,12,120,12
EASY_Backfill,656,138.8043597560976,535.25,9047.0,0.28183581228584054,0.020349595617010174,6,120,13
EASY_Backfill,656,93.94634146341464,309.5,6257.0,0.25956928240370797,0.00741962077493817,0,120,14
EASY_Backfill,656,327.3944207317074,1280.0025,9462.0,0.3079306083985063,0.004733727810650888,7,120,15
EASY_Backfill,656,104.89164634146341,435.0,9047.0,0.18394198122766298,0.015416005440943096,8,120,16
EASY_Backfill,656,140.83905487804876,394.0,10115.0,0.27153100490196075,0.01570926143024619,8,120,17
EASY_Backfill,656,132.79060975609755,651.0,9047.0,0.25801314086621707,0.014458351316357358,5,120,18
EASY_Backfill,656,1550.5919817073175,4901.01,13155.01,0.33823493783610475,0.006790123456790123,38,120,19
EASY_Backfill,656,136.70233231707317,367.0,10115.0,0.2581272851787773,0.020433905146316853,3,120,20
EASY_Backfill,656,111.70083841463415,397.0,9047.0,0.24023827189491917,0.005012531328320802,0,120,21
EASY_Backfill,656,151.07396341463416,535.25,10115.0,0.20423707571263794,0.022944550669216062,4,120,22
EASY_Backfill,656,127.2144054878049,700.0,10115.0,0.17000772367770636,0.017607332368547998,19,120,23
EASY_Backfill,656,104.87166158536586,379.5,6257.0,0.3711314910633425,0.0021598272138228943,4,120,24
EASY_Backfill,656,127.06955792682928,397.0,9047.0,0.2639636804097123,0.005893909626719057,0,120,25
EASY_Backfill,656,119.48237804878049,602.5,9047.0,0.15471390378025854,0.005336721728081322,0,120,26
