policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,cluster,n_hosts,boot_rep
FIFO,700,7504.7628333333305,16065.66416666666,31840.183333333334,0.7957576439048981,0.013297872340425532,0,Earth,8,3
QSSF_proxy,700,6102.987476190477,14775.534166666665,29119.949999999997,0.870093158499014,0.022606382978723406,313,Earth,8,3
RF_SRPT_proxy,700,6006.239880952381,14550.509166666681,32058.183333333334,0.7903463838666256,0.03856382978723404,184,Earth,8,3
Backfill_FIFO,700,6228.236738095237,14450.641666666663,31812.15,0.7964588772161998,0.011968085106382979,326,Earth,8,3
Wind_proxy,700,6160.429761904761,14679.466666666667,30815.166666666664,0.8222272345598222,0.014627659574468085,327,Earth,8,3
PredSched_LLM,700,6006.239880952381,14550.509166666681,32058.183333333334,0.7903463838666256,0.03856382978723404,184,Earth,8,3
FIFO,700,2784.142119047624,8326.727500000025,22094.900000000023,0.8352254790698302,0.007731958762886598,0,Earth,8,4
QSSF_proxy,700,561.5043333333335,3453.869999999973,22866.36666666667,0.8070465984612041,0.019329896907216496,348,Earth,8,4
RF_SRPT_proxy,700,648.4880476190478,4062.762499999999,21458.733333333334,0.859986614812617,0.019329896907216496,468,Earth,8,4
Backfill_FIFO,700,890.0153095238104,3471.765833333334,26800.033333333333,0.6885895703176985,0.015463917525773196,424,Earth,8,4
Wind_proxy,700,889.7249047619056,3471.765833333334,26791.083333333336,0.6888196049369658,0.015463917525773196,424,Earth,8,4
PredSched_LLM,700,648.4880476190478,4062.762499999999,21458.733333333334,0.859986614812617,0.019329896907216496,468,Earth,8,4
FIFO,700,2406.9773333333337,9909.283333333333,21866.95,0.6793359003732423,0.009320905459387484,0,Earth,8,5
QSSF_proxy,700,384.9933333333338,1746.1049999999937,18492.3,0.8033075478262124,0.03062583222370173,303,Earth,8,5
RF_SRPT_proxy,700,462.0663809523813,3027.433333333338,18492.3,0.8033075478262124,0.006657789613848202,309,Earth,8,5
Backfill_FIFO,700,467.45028571428605,2718.879166666665,18492.3,0.8033075478262122,0.02929427430093209,317,Earth,8,5
Wind_proxy,700,467.45028571428605,2718.879166666665,18492.3,0.8033075478262122,0.03195739014647137,317,Earth,8,5
PredSched_LLM,700,462.0663809523813,3027.433333333338,18492.3,0.8033075478262124,0.006657789613848202,309,Earth,8,5
FIFO,700,108.19230952380953,713.5683333333309,13777.900000000001,0.34451696648255525,0.014725568942436412,0,Earth,8,6
QSSF_proxy,700,94.64323809523809,614.6083333333293,13777.900000000001,0.34451696648255525,0.01740294511378849,30,Earth,8,6
RF_SRPT_proxy,700,92.20704761904761,547.9708333333326,13777.900000000001,0.34451696648255525,0.014725568942436412,34,Earth,8,6
Backfill_FIFO,700,91.41009523809522,591.7308333333323,13777.900000000001,0.34451696648255525,0.0214190093708166,44,Earth,8,6
Wind_proxy,700,90.65897619047618,593.5899999999972,13777.900000000001,0.34451696648255514,0.012048192771084338,45,Earth,8,6
PredSched_LLM,700,92.20704761904761,547.9708333333326,13777.900000000001,0.34451696648255525,0.014725568942436412,34,Earth,8,6
FIFO,700,520.1606428571431,1640.0166666666673,13691.566666666664,0.43703651517844355,0.018867924528301886,0,Earth,8,7
QSSF_proxy,700,110.64938095238097,644.6958333333313,13569.65,0.44096307445905586,0.013477088948787063,148,Earth,8,7
RF_SRPT_proxy,700,121.61226190476198,847.6075000000004,13569.65,0.44096307445905614,0.013477088948787063,243,Earth,8,7
Backfill_FIFO,700,116.92657142857148,863.4458333333338,13569.65,0.44096307445905625,0.0215633423180593,258,Earth,8,7
Wind_proxy,700,126.73540476190475,879.9799999999999,13569.65,0.4409630744590565,0.01752021563342318,313,Earth,8,7
PredSched_LLM,700,121.61226190476198,847.6075000000004,13569.65,0.44096307445905614,0.013477088948787063,243,Earth,8,7
FIFO,700,3511.586904761905,10602.733333333334,23959.25,0.7110853693423904,0.021505376344086023,0,Earth,8,8
QSSF_proxy,700,555.9608333333335,2075.3474999999967,21784.399999999998,0.7820767216639737,0.01881720430107527,328,Earth,8,8
RF_SRPT_proxy,700,587.4881190476192,3180.934166666656,21998.600000000006,0.7744616537150846,0.01881720430107527,343,Earth,8,8
Backfill_FIFO,700,793.8090476190479,3989.214166666662,21953.616666666676,0.7760485387942911,0.026881720430107527,316,Earth,8,8
Wind_proxy,700,790.9750714285717,3749.3224999999966,21919.016666666674,0.7772735608767423,0.01478494623655914,316,Earth,8,8
PredSched_LLM,700,587.4881190476192,3180.934166666656,21998.600000000006,0.7744616537150846,0.01881720430107527,343,Earth,8,8
FIFO,700,2694.2314999999994,10602.650000000001,20709.216666666664,0.81708618515669,0.025780189959294438,0,Earth,8,9
QSSF_proxy,700,580.5379761904761,2654.560833333323,20529.51666666667,0.8242383451347695,0.031207598371777476,293,Earth,8,9
RF_SRPT_proxy,700,584.3858333333333,3030.6999999999953,19599.68333333333,0.8633412364868143,0.016282225237449117,307,Earth,8,9
Backfill_FIFO,700,646.3073809523809,2576.9208333333295,20144.783333333333,0.8399799870644754,0.016282225237449117,345,Earth,8,9
Wind_proxy,700,646.3073809523809,2576.9208333333295,20144.783333333333,0.8399799870644754,0.016282225237449117,345,Earth,8,9
PredSched_LLM,700,584.3858333333333,3030.6999999999953,19599.68333333333,0.8633412364868143,0.016282225237449117,307,Earth,8,9
FIFO,700,7641.643785714286,15503.43833333333,31215.533333333333,0.8021558827949984,0.011842105263157895,0,Earth,8,10
QSSF_proxy,700,583.1979761904763,2610.7108333333363,34752.066666666666,0.7205247370779866,0.010526315789473684,342,Earth,8,10
RF_SRPT_proxy,700,1010.568261904762,5939.64166666667,34106.78333333333,0.7341567058141416,0.014473684210526316,391,Earth,8,10
Backfill_FIFO,700,1025.3672380952385,3779.6499999999996,34128.5,0.7336895467986188,0.011842105263157895,407,Earth,8,10
Wind_proxy,700,1029.432904761905,3811.6833333333325,34128.5,0.7336895467986189,0.010526315789473684,407,Earth,8,10
PredSched_LLM,700,1010.568261904762,5939.64166666667,34106.78333333333,0.7341567058141416,0.014473684210526316,391,Earth,8,10
FIFO,700,8503.126595238096,16791.085000000003,34018.166666666664,0.7111924495612637,0.0316622691292876,0,Earth,8,11
QSSF_proxy,700,879.1757619047619,6365.939166666665,34991.63333333333,0.6914070872537151,0.0158311345646438,343,Earth,8,11
RF_SRPT_proxy,700,719.9207857142859,4010.256666666669,33277.166666666664,0.7270289422051156,0.011873350923482849,373,Earth,8,11
Backfill_FIFO,700,1047.9783333333335,3924.461666666584,33267.51666666666,0.7272398334887236,0.010554089709762533,378,Earth,8,11
Wind_proxy,700,1047.9783333333335,3924.461666666584,33267.51666666666,0.7272398334887236,0.010554089709762533,378,Earth,8,11
PredSched_LLM,700,719.9207857142859,4010.256666666669,33277.166666666664,0.7270289422051156,0.011873350923482849,373,Earth,8,11
FIFO,700,14111.384619047618,29394.989166666674,46751.99999999999,0.7956335535556414,0.0066050198150594455,0,Earth,8,12
QSSF_proxy,700,6086.901142857143,14775.216666666665,43894.98333333334,0.8474193876179474,0.003963011889035667,271,Earth,8,12
RF_SRPT_proxy,700,6225.694523809523,15974.714999999986,48225.23333333333,0.7713277329053876,0.0,330,Earth,8,12
Backfill_FIFO,700,13358.218023809522,28862.68666666666,46051.56666666665,0.8077349499329384,0.002642007926023778,314,Earth,8,12
Wind_proxy,700,13341.447547619042,28813.476666666655,46026.46666666666,0.8081754388236051,0.005284015852047556,314,Earth,8,12
PredSched_LLM,700,6225.694523809523,15974.714999999986,48225.23333333333,0.7713277329053876,0.0,330,Earth,8,12
FIFO,700,821.5190000000002,2233.669166666666,13697.566666666666,0.5885524527470816,0.02127659574468085,0,Earth,8,13
QSSF_proxy,700,161.0116904761905,1132.9641666666653,13569.65,0.5941005448433326,0.014627659574468085,197,Earth,8,13
RF_SRPT_proxy,700,160.48488095238093,1132.9641666666653,13569.65,0.5941005448433323,0.013297872340425532,200,Earth,8,13
Backfill_FIFO,700,200.2442619047619,1254.750833333331,13569.65,0.5941005448433332,0.0199468085106383,310,Earth,8,13
Wind_proxy,700,200.34388095238097,1254.750833333331,13569.65,0.5941005448433332,0.02127659574468085,310,Earth,8,13
PredSched_LLM,700,160.48488095238093,1132.9641666666653,13569.65,0.5941005448433323,0.013297872340425532,200,Earth,8,13
FIFO,700,381.5030952380951,1545.660833333332,16359.566666666668,0.418624210324438,0.010540184453227932,0,Earth,8,14
QSSF_proxy,700,160.79592857142853,900.0291666666651,16359.566666666668,0.4186242103244381,0.005270092226613966,141,Earth,8,14
RF_SRPT_proxy,700,151.1229285714285,957.6766666666617,16359.566666666668,0.4186242103244381,0.005270092226613966,134,Earth,8,14
Backfill_FIFO,700,159.62447619047614,954.643333333331,16359.566666666668,0.4186242103244381,0.005270092226613966,123,Earth,8,14
Wind_proxy,700,154.79804761904757,954.643333333331,16359.566666666668,0.41862421032443786,0.005270092226613966,118,Earth,8,14
PredSched_LLM,700,151.1229285714285,957.6766666666617,16359.566666666668,0.4186242103244381,0.005270092226613966,134,Earth,8,14
FIFO,700,12110.09219047619,25851.764166666653,39200.11666666667,0.8851240398094052,0.01955671447196871,0,Earth,8,15
QSSF_proxy,700,874.0234047619048,7057.069999999982,37380.49999999999,0.9282103135324571,0.014341590612777053,370,Earth,8,15
RF_SRPT_proxy,700,981.0862857142854,8855.18999999998,39414.61666666666,0.8803070677671611,0.014341590612777053,481,Earth,8,15
Backfill_FIFO,700,837.9022142857145,2458.8991666666675,42570.3,0.8150510009325751,0.007822685788787484,458,Earth,8,15
Wind_proxy,700,797.5314523809525,2690.7674999999954,42793.4,0.8108017971229209,0.002607561929595828,460,Earth,8,15
PredSched_LLM,700,981.0862857142854,8855.18999999998,39414.61666666666,0.8803070677671611,0.014341590612777053,481,Earth,8,15
FIFO,700,385.5462380952382,1471.3733333333337,18618.36666666667,0.48428004168374905,0.01606425702811245,0,Earth,8,16
QSSF_proxy,700,173.3705476190476,1288.8108333333334,18230.133333333335,0.4945933867049795,0.012048192771084338,139,Earth,8,16
RF_SRPT_proxy,700,201.74499999999992,1373.4708333333338,18230.133333333335,0.49459338670497915,0.012048192771084338,71,Earth,8,16
Backfill_FIFO,700,189.12207142857145,1262.3174999999999,18284.95,0.49311063937372884,0.024096385542168676,306,Earth,8,16
Wind_proxy,700,189.41980952380953,1262.3174999999999,18284.95,0.49311063937372884,0.024096385542168676,314,Earth,8,16
PredSched_LLM,700,201.74499999999992,1373.4708333333338,18230.133333333335,0.49459338670497915,0.012048192771084338,71,Earth,8,16
FIFO,700,543.6264285714283,2049.691666666665,20050.85,0.5453252942934255,0.013297872340425532,0,Earth,8,17
QSSF_proxy,700,257.8163809523808,1446.5624999999986,20050.85,0.5453252942934252,0.03590425531914894,165,Earth,8,17
RF_SRPT_proxy,700,261.2137142857143,1446.5624999999986,20891.61666666667,0.5233791071099493,0.015957446808510637,157,Earth,8,17
Backfill_FIFO,700,302.28940476190485,1668.4499999999985,20054.05,0.5452382774094674,0.018617021276595744,223,Earth,8,17
Wind_proxy,700,302.28940476190485,1668.4499999999985,20054.05,0.5452382774094674,0.018617021276595744,223,Earth,8,17
PredSched_LLM,700,261.2137142857143,1446.5624999999986,20891.61666666667,0.5233791071099493,0.015957446808510637,157,Earth,8,17
FIFO,700,614.1361428571429,2159.0166666666682,19070.283333333333,0.5337483241815144,0.013568521031207599,0,Earth,8,18
QSSF_proxy,700,281.10240476190484,1752.6108333333286,18783.0,0.5419119294486151,0.010854816824966078,289,Earth,8,18
RF_SRPT_proxy,700,263.0652857142857,1417.6849999999986,18339.833333333332,0.5550067760066888,0.013568521031207599,304,Earth,8,18
Backfill_FIFO,700,290.4759047619047,1631.5166666666664,18286.166666666668,0.5566356227840716,0.012211668928086838,304,Earth,8,18
Wind_proxy,700,317.13995238095237,2039.6166666666677,18907.533333333333,0.5383426590547682,0.004070556309362279,308,Earth,8,18
