n_hosts,policy,mean,std,ci_2.5%,ci_97.5%
120,FIFO,217.60869974593498,236.83161841964852,98.60314977134146,1115.66449657012
120,QSSF_proxy,141.6163470020325,28.284601441073683,96.41501676829269,206.70651143292673
120,RF_SRPT_proxy,141.6163470020325,28.284601441073683,96.41501676829269,206.70651143292673
120,Backfill_FIFO,141.58294837398375,28.24831640403825,96.41501676829269,206.52039786585354
120,Wind_proxy,143.31219263211383,30.585273689654652,96.41501676829269,217.41896760670733
120,PredSched_LLM,143.4989099593496,29.600828041594813,97.85794169207317,214.56036966463407
64,FIFO,3757.0243341971545,1438.697312483529,872.0301638719511,6414.234561356705
64,QSSF_proxy,630.6726965955285,214.82562800113138,208.55941349085367,1076.3189203506097
64,RF_SRPT_proxy,630.6727270833333,214.82563459596932,208.55941349085367,1076.3189203506097
64,Backfill_FIFO,622.4937172764228,215.70848699534838,206.41971227134147,1061.005790015244
64,Wind_proxy,622.4869,215.6074670008269,206.44372942073173,1056.545294207317
64,PredSched_LLM,630.7666423780488,214.66574859891654,208.58343064024393,1076.3189203506097
