policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,boot_rep
Oracle_SRPT,656,202.91262195121953,777.75,9047.0,0.5554144133874948,0.0018181818181818182,225,120,0
Oracle_SRPT,656,170.41402439024392,663.25,10115.0,0.2922053736200361,0.003694906307732911,22,120,1
Oracle_SRPT,656,103.20798780487806,357.0,10115.0,0.1832968229939035,0.004401204540189946,1,120,2
Oracle_SRPT,656,198.7282317073171,975.0,9047.0,0.30980486625400705,0.007389162561576354,2,120,3
Oracle_SRPT,656,120.42958841463414,399.25,10115.0,0.18179867049761084,0.006197790353004581,2,120,4
Oracle_SRPT,656,161.81513719512193,661.5,10687.0,0.48054165886903094,0.0015459363957597172,171,120,5
Oracle_SRPT,656,213.0041768292683,1440.0,10115.0,0.410976932979074,0.0029123643102991793,169,120,6
Oracle_SRPT,656,135.78018292682927,530.75,10115.0,0.31886196655132637,0.018477457501847747,21,120,7
Oracle_SRPT,656,139.65721036585364,608.0,10115.0,0.32681561006755644,0.01729176814417925,33,120,8
Oracle_SRPT,656,225.2234756097561,1001.0,10115.0,0.4577042923051575,0.002975557917109458,56,120,9
Oracle_SRPT,656,168.04051829268295,911.25,10115.0,0.2306399901136926,0.031126482213438736,13,120,10
Oracle_SRPT,656,129.66582317073173,453.5,6257.0,0.25428205076980437,0.005643075476134493,3,120,11
Oracle_SRPT,656,102.95210365853659,424.25,5583.0,0.25755462452982264,0.0067520372526193246,6,120,12
Oracle_SRPT,656,131.91260670731708,535.25,9047.0,0.2818358122858406,0.004435168275502218,16,120,13
Oracle_SRPT,656,92.69939024390244,295.0,6257.0,0.25956928240370786,0.007694421544380325,0,120,14
Oracle_SRPT,656,159.64134146341462,863.5,9047.0,0.3220558656644929,0.002366863905325444,110,120,15
Oracle_SRPT,656,103.99682926829269,393.25,9047.0,0.18394198122766295,0.017002947177510767,8,120,16
Oracle_SRPT,656,140.45338414634145,394.0,10115.0,0.27153100490196075,0.002579132473622509,5,120,17
Oracle_SRPT,656,132.67623475609756,651.0,9047.0,0.25801314086621707,0.0015105740181268882,1,120,18
Oracle_SRPT,656,208.219131097561,898.0,10115.0,0.4398896677788763,0.0021604938271604936,207,120,19
Oracle_SRPT,656,136.6108536585366,367.0,10115.0,0.2581272851787773,0.005549949545913219,0,120,20
