policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,total_capacity
RF_SRPT_proxy,656,133.7494054878049,602.5,10115.0,0.17770028458442205,0.01989683124539425,0,175,1400
Backfill_FIFO,656,133.7494054878049,602.5,10115.0,0.17770028458442205,0.005404077622205846,0,175,1400
Wind_proxy,656,133.7494054878049,602.5,10115.0,0.17770028458442205,0.005649717514124294,0,175,1400
PredSched_LLM,656,133.7494054878049,602.5,10115.0,0.17770028458442205,0.004421518054532056,0,175,1400
FIFO,656,133.7570274390244,602.5,10115.0,0.2073169986818255,0.005404077622205846,0,150,1200
QSSF_proxy,656,133.7570274390244,602.5,10115.0,0.2073169986818255,0.01989683124539425,0,150,1200
RF_SRPT_proxy,656,133.7570274390244,602.5,10115.0,0.2073169986818255,0.01989683124539425,0,150,1200
Backfill_FIFO,656,133.7570274390244,602.5,10115.0,0.2073169986818255,0.005404077622205846,0,150,1200
Wind_proxy,656,133.7494054878049,602.5,10115.0,0.2073169986818255,0.005649717514124294,0,150,1200
PredSched_LLM,656,133.7707469512195,602.5,10115.0,0.20731699868182552,0.004667157946450504,0,150,1200
FIFO,656,133.8973018292683,602.5,10115.0,0.2392119215559526,0.005404077622205846,0,130,1040
QSSF_proxy,656,133.84545731707317,602.5,10115.0,0.2392119215559526,0.01989683124539425,1,130,1040
RF_SRPT_proxy,656,133.84545731707317,602.5,10115.0,0.2392119215559526,0.01989683124539425,1,130,1040
Backfill_FIFO,656,133.84545731707317,602.5,10115.0,0.2392119215559526,0.005404077622205846,5,130,1040
Wind_proxy,656,134.00246951219512,602.5,10115.0,0.2392119215559526,0.005404077622205846,16,130,1040
PredSched_LLM,656,134.1457469512195,602.5,10115.0,0.2392119215559526,0.008106116433308769,4,130,1040
FIFO,656,142.14425304878048,602.5,10115.0,0.25914624835228217,0.005649717514124294,0,120,960
QSSF_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,120,960
RF_SRPT_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,120,960
Backfill_FIFO,656,135.95673780487803,602.5,10115.0,0.2591462483522821,0.005404077622205846,31,120,960
Wind_proxy,656,135.96893292682927,602.5,10115.0,0.2591462483522821,0.005404077622205846,34,120,960
PredSched_LLM,656,136.60763719512195,602.5,10115.0,0.25914624835228206,0.011790714812085483,7,120,960
FIFO,656,162.44303353658538,645.5,10115.0,0.28270499820248957,0.005158437730287398,0,110,880
QSSF_proxy,656,141.16862804878048,651.75,10115.0,0.2827049982024894,0.01989683124539425,14,110,880
RF_SRPT_proxy,656,141.16862804878048,651.75,10115.0,0.2827049982024894,0.01989683124539425,14,110,880
Backfill_FIFO,656,142.15033536585366,645.5,10115.0,0.2827049982024894,0.005404077622205846,44,110,880
