n_hosts,min_pool_size,max_pool_size,mean_pool_size,Backfill_minus_FIFO_mean,Backfill_minus_FIFO_ci,pct_reps_Backfill_beats_FIFO,RF_SRPT_minus_Backfill_mean,RF_SRPT_minus_Backfill_ci,pct_reps_RF_SRPT_beats_Backfill
120,208,1217,643.6333333333333,-55.68791631302429,"(-753.1326531393662, 0.0)",70.0,0.01091364550226506,"(-1.73937598691152, 2.9116678778697844)",24.0
64,201,1339,669.7233333333334,-2286.7271732725208,"(-6255.659182043129, 0.0)",90.33333333333333,12.780202551191865,"(-53.45874195096375, 140.02598099084713)",33.666666666666664
