policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,boot_rep
Wind_proxy,651,268.93488479262675,1271.5,9396.01,0.5557314975541038,0.003962703962703963,153,120,5
PredSched_LLM,651,264.52142857142866,1303.0,9048.0,0.5771064001252579,0.0032634032634032634,146,120,5
FIFO,651,116.12216589861751,523.5,6257.0,0.356828878322945,0.0033238366571699905,0,120,6
QSSF_proxy,651,92.24044546850999,351.5,6257.0,0.35682887832294496,0.0033238366571699905,15,120,6
RF_SRPT_proxy,651,92.24044546850999,351.5,6257.0,0.35682887832294496,0.0033238366571699905,14,120,6
Backfill_FIFO,651,94.54920122887864,397.0,6257.0,0.356828878322945,0.0033238366571699905,58,120,6
Wind_proxy,651,95.8978955453149,401.5,6257.0,0.356828878322945,0.0033238366571699905,61,120,6
PredSched_LLM,651,96.32798771121352,401.5,6257.0,0.35682887832294496,0.007597340930674264,18,120,6
FIFO,651,117.58298003072196,274.0,10115.0,0.22197840047783815,0.014867485455720749,0,120,7
QSSF_proxy,651,116.74119815668203,274.0,10115.0,0.22197840047783815,0.014652014652014652,18,120,7
RF_SRPT_proxy,651,116.74119815668203,274.0,10115.0,0.22197840047783815,0.014652014652014652,16,120,7
Backfill_FIFO,651,116.74119815668202,274.0,10115.0,0.22197840047783815,0.014867485455720749,50,120,7
Wind_proxy,651,116.72890937019967,274.0,10115.0,0.22197840047783815,0.014221073044602456,50,120,7
PredSched_LLM,651,116.68129032258065,274.0,10115.0,0.22197840047783815,0.003878474466709761,15,120,7
FIFO,651,1276.7818279569892,4691.505,8527.0,0.47118112564012343,0.03848101265822785,0,120,8
QSSF_proxy,651,177.27903225806455,898.0,7278.0,0.552041970092516,0.017974683544303798,169,120,8
RF_SRPT_proxy,651,177.27903225806455,898.0,7278.0,0.552041970092516,0.017974683544303798,165,120,8
Backfill_FIFO,651,177.2774961597542,898.0,7278.0,0.5520419700925161,0.018227848101265823,191,120,8
Wind_proxy,651,177.2774961597542,898.0,7278.0,0.5520419700925161,0.017721518987341773,191,120,8
PredSched_LLM,651,177.3435483870968,898.0,7278.0,0.552041970092516,0.012151898734177215,167,120,8
FIFO,651,112.41124423963134,331.5,5657.0,0.29245363045783973,0.004709965294992563,0,120,9
QSSF_proxy,651,109.43574500768051,307.0,5657.0,0.2924536304578398,0.004462072384729797,10,120,9
RF_SRPT_proxy,651,109.43574500768051,307.0,5657.0,0.2924536304578398,0.004462072384729797,10,120,9
Backfill_FIFO,651,109.65847926267283,329.0,5657.0,0.29245363045783973,0.004462072384729797,38,120,9
Wind_proxy,651,109.6661597542243,329.0,5657.0,0.29245363045783973,0.004709965294992563,38,120,9
PredSched_LLM,651,109.39734254992321,307.0,5657.0,0.2924536304578398,0.004462072384729797,10,120,9
FIFO,651,121.37419354838711,434.5,6257.0,0.39355057169303703,0.005598507064782724,0,120,10
QSSF_proxy,651,115.64459293394778,410.0,6257.0,0.39355057169303703,0.006664889362836577,20,120,10
RF_SRPT_proxy,651,115.64459293394778,410.0,6257.0,0.39355057169303703,0.006664889362836577,20,120,10
Backfill_FIFO,651,115.60921658986176,414.0,6257.0,0.393550571693037,0.00693148493735004,51,120,10
Wind_proxy,651,115.71981566820277,414.0,6257.0,0.393550571693037,0.006664889362836577,55,120,10
PredSched_LLM,651,115.74597542242704,410.0,6257.0,0.39355057169303703,0.006664889362836577,20,120,10
FIFO,651,170.088356374808,803.5,9047.0,0.32540964776537323,0.0048277375466315555,0,120,11
QSSF_proxy,651,154.84565284178188,802.5,9047.0,0.3254096477653734,0.005266622778143515,4,120,11
RF_SRPT_proxy,651,154.84565284178188,802.5,9047.0,0.3254096477653734,0.005266622778143515,4,120,11
Backfill_FIFO,651,158.1805222734255,802.5,9047.0,0.32540964776537334,0.005266622778143515,32,120,11
Wind_proxy,651,158.16823348694317,802.5,9047.0,0.32540964776537334,0.0048277375466315555,32,120,11
PredSched_LLM,651,154.83336405529954,802.5,9047.0,0.3254096477653734,0.003949967083607637,4,120,11
FIFO,651,130.39844854070662,397.0,10115.0,0.27526383362168383,0.0049261083743842365,0,120,12
QSSF_proxy,651,130.33852534562214,397.0,10115.0,0.27526383362168383,0.00466683951257454,3,120,12
RF_SRPT_proxy,651,130.33852534562214,397.0,10115.0,0.27526383362168383,0.00466683951257454,3,120,12
Backfill_FIFO,651,130.33852534562214,397.0,10115.0,0.27526383362168383,0.0049261083743842365,11,120,12
Wind_proxy,651,130.3661751152074,397.0,10115.0,0.27526383362168383,0.0049261083743842365,11,120,12
PredSched_LLM,651,133.74121351766516,397.0,10115.0,0.27526383362168383,0.00622245268343272,18,120,12
FIFO,651,107.07760368663595,359.0,9047.0,0.28137570004789797,0.0018126888217522659,0,120,13
QSSF_proxy,651,106.988509984639,359.0,9047.0,0.2813757000478979,0.0018126888217522659,3,120,13
RF_SRPT_proxy,651,106.988509984639,359.0,9047.0,0.2813757000478979,0.0018126888217522659,3,120,13
Backfill_FIFO,651,106.98850998463902,359.0,9047.0,0.2813757000478979,0.0018126888217522659,5,120,13
Wind_proxy,651,107.0868202764977,359.0,9047.0,0.2813757000478979,0.0018126888217522659,18,120,13
PredSched_LLM,651,107.0146082949309,359.0,9047.0,0.28137570004789797,0.0030211480362537764,3,120,13
FIFO,651,204.17576036866362,1047.0,10115.0,0.3995104053386061,0.019218025182239893,0,120,14
QSSF_proxy,651,199.9714592933948,951.0,10115.0,0.3995104053386061,0.018997128341064724,23,120,14
RF_SRPT_proxy,651,199.9714592933948,951.0,10115.0,0.3995104053386061,0.018997128341064724,23,120,14
Backfill_FIFO,651,199.94073732718897,951.0,10115.0,0.3995104053386061,0.018997128341064724,65,120,14
Wind_proxy,651,199.94073732718897,951.0,10115.0,0.3995104053386061,0.01811354097636404,65,120,14
PredSched_LLM,651,199.9868049155146,951.0,10115.0,0.3995104053386061,0.01104484205875856,22,120,14
FIFO,651,148.82399385560677,420.5,10115.0,0.28842102385071694,0.01664208974088898,0,120,15
QSSF_proxy,651,141.1803686635945,443.5,10115.0,0.28842102385071694,0.017063408468506427,19,120,15
RF_SRPT_proxy,651,141.1803686635945,443.5,10115.0,0.28842102385071694,0.017063408468506427,18,120,15
Backfill_FIFO,651,141.40771121351767,420.5,10115.0,0.28842102385071694,0.016852749104697702,66,120,15
Wind_proxy,651,141.39081413210448,420.5,10115.0,0.28842102385071694,0.01643143037708026,66,120,15
PredSched_LLM,651,144.87161290322584,647.0,10115.0,0.288421023850717,0.007794396460922688,16,120,15
FIFO,651,92.19923195084485,401.5,10115.0,0.13921208807052224,0.005078720162519045,0,120,16
QSSF_proxy,651,92.18379416282642,401.5,10115.0,0.13921208807052224,0.005078720162519045,1,120,16
RF_SRPT_proxy,651,92.18379416282642,401.5,10115.0,0.13921208807052224,0.005078720162519045,1,120,16
Backfill_FIFO,651,92.19609831029186,401.5,10115.0,0.13921208807052224,0.005078720162519045,2,120,16
Wind_proxy,651,92.19609831029186,401.5,10115.0,0.13921208807052224,0.005078720162519045,2,120,16
PredSched_LLM,651,92.18529953917052,401.5,10115.0,0.13921208807052224,0.0030472320975114273,0,120,16
FIFO,651,131.21434715821815,375.0,9047.0,0.5130865676006778,0.0029333333333333334,0,120,17
QSSF_proxy,651,127.14061443932412,375.0,9047.0,0.513086567600678,0.0026666666666666666,23,120,17
RF_SRPT_proxy,651,127.14061443932412,375.0,9047.0,0.513086567600678,0.0026666666666666666,23,120,17
Backfill_FIFO,651,127.20666666666668,375.0,9047.0,0.513086567600678,0.0026666666666666666,69,120,17
Wind_proxy,651,127.20666666666668,375.0,9047.0,0.513086567600678,0.0024,69,120,17
PredSched_LLM,651,127.1283256528418,375.0,9047.0,0.5130865676006778,0.0024,23,120,17
FIFO,651,423.05468509984644,1407.5,9668.0,0.35266210695076533,0.00641025641025641,0,120,18
QSSF_proxy,651,168.7400307219662,1151.0,9667.0,0.3526985879797248,0.0015384615384615385,129,120,18
RF_SRPT_proxy,651,168.7400307219662,1151.0,9667.0,0.3526985879797248,0.0015384615384615385,128,120,18
Backfill_FIFO,651,168.75384024577573,1151.0,9667.0,0.35269858797972475,0.0015384615384615385,181,120,18
Wind_proxy,651,170.26689708141322,1151.0,9667.0,0.3526985879797248,0.0015384615384615385,179,120,18
PredSched_LLM,651,170.24539170506912,1151.0,9667.0,0.3526985879797248,0.007435897435897436,129,120,18
FIFO,651,141.70754224270354,622.0,6257.0,0.41185407010814545,0.002297090352220521,0,120,19
QSSF_proxy,651,129.3373425499232,644.0,6257.0,0.41185407010814545,0.002297090352220521,8,120,19
RF_SRPT_proxy,651,129.3373425499232,644.0,6257.0,0.41185407010814545,0.002297090352220521,8,120,19
Backfill_FIFO,651,129.38803379416282,622.0,6257.0,0.41185407010814556,0.002041858090862685,39,120,19
Wind_proxy,651,129.38803379416282,622.0,6257.0,0.41185407010814556,0.002041858090862685,39,120,19
PredSched_LLM,651,132.5124731182796,647.0,6257.0,0.41185407010814545,0.003318019397651863,9,120,19
FIFO,651,152.41416282642092,515.0,10115.0,0.3071997930054375,0.017264276228419653,0,120,20
QSSF_proxy,651,151.95642089093704,515.0,10115.0,0.3071997930054375,0.0018592297476759628,13,120,20
RF_SRPT_proxy,651,151.95642089093704,515.0,10115.0,0.3071997930054375,0.0018592297476759628,13,120,20
Backfill_FIFO,651,151.95026113671275,515.0,10115.0,0.3071997930054375,0.017264276228419653,28,120,20
Wind_proxy,651,151.95794162826422,515.0,10115.0,0.3071997930054375,0.013545816733067729,27,120,20
PredSched_LLM,651,152.02709677419358,515.0,10115.0,0.3071997930054375,0.0031872509960159364,13,120,20
FIFO,651,129.0331182795699,515.0,10115.0,0.24989881982204656,0.004342581423401689,0,120,21
QSSF_proxy,651,126.00546850998464,515.0,10115.0,0.2498988198220465,0.004342581423401689,10,120,21
RF_SRPT_proxy,651,126.00546850998464,515.0,10115.0,0.2498988198220465,0.004342581423401689,10,120,21
Backfill_FIFO,651,126.01622119815669,515.0,10115.0,0.24989881982204645,0.004342581423401689,28,120,21
Wind_proxy,651,126.01622119815669,515.0,10115.0,0.24989881982204645,0.0048250904704463205,28,120,21
PredSched_LLM,651,125.7673732718894,515.0,10115.0,0.2498988198220465,0.0021712907117008443,10,120,21
