policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,boot_rep
QSSF_proxy,656,164.368506097561,671.25,10232.0,0.5019105461623665,0.0015459363957597172,143,120,5
RF_SRPT_proxy,656,164.368506097561,671.25,10232.0,0.5019105461623665,0.0015459363957597172,141,120,5
Backfill_FIFO,656,165.85022865853657,775.75,10636.0,0.48284587329196443,0.0015459363957597172,171,120,5
Wind_proxy,656,165.85785060975607,775.75,10636.0,0.48284587329196443,0.0015459363957597172,171,120,5
PredSched_LLM,656,164.3593597560976,671.25,10232.0,0.5019105461623665,0.0015459363957597172,141,120,5
FIFO,656,690.9500914634148,2573.75,11126.01,0.3736318479925268,0.003706645485835319,0,120,6
QSSF_proxy,656,213.0041768292683,1440.0,10115.0,0.410976932979074,0.0029123643102991793,144,120,6
RF_SRPT_proxy,656,213.0041768292683,1440.0,10115.0,0.410976932979074,0.0029123643102991793,141,120,6
Backfill_FIFO,656,213.0041768292683,1440.0,10115.0,0.410976932979074,0.0026476039184537992,221,120,6
Wind_proxy,656,213.0041768292683,1440.0,10115.0,0.410976932979074,0.0026476039184537992,221,120,6
PredSched_LLM,656,213.0041768292683,1440.0,10115.0,0.410976932979074,0.0023828435266084196,141,120,6
FIFO,656,164.74512195121952,755.0,10115.0,0.3188619665513263,0.01823109140182311,0,120,7
QSSF_proxy,656,139.6673780487805,518.75,10115.0,0.3188619665513263,0.018477457501847747,16,120,7
RF_SRPT_proxy,656,139.6673780487805,518.75,10115.0,0.3188619665513263,0.018477457501847747,16,120,7
Backfill_FIFO,656,139.71768292682927,662.5,10115.0,0.31886196655132637,0.018970189701897018,65,120,7
Wind_proxy,656,139.9814024390244,662.5,10115.0,0.31886196655132637,0.014042867701404288,83,120,7
PredSched_LLM,656,149.94024390243902,681.5,10115.0,0.3188619665513263,0.013550135501355014,7,120,7
FIFO,656,163.98278963414634,632.0,10115.0,0.32681561006755644,0.0031660983925962008,0,120,8
QSSF_proxy,656,144.5153506097561,651.0,10115.0,0.3268156100675564,0.003896736483195324,39,120,8
RF_SRPT_proxy,656,144.5153506097561,651.0,10115.0,0.3268156100675564,0.003896736483195324,35,120,8
Backfill_FIFO,656,143.5505335365854,615.5,10115.0,0.3268156100675564,0.003653190452995616,82,120,8
Wind_proxy,656,143.85541158536586,615.5,10115.0,0.3268156100675564,0.0031660983925962008,99,120,8
PredSched_LLM,656,144.50169207317074,651.0,10115.0,0.3268156100675564,0.003653190452995616,40,120,8
FIFO,656,1273.3764939024393,4182.0,13035.0,0.35517291267101375,0.0036131774707757703,0,120,9
QSSF_proxy,656,225.26006097560978,1001.0,10115.0,0.4577042923051575,0.002763018065887354,151,120,9
RF_SRPT_proxy,656,225.26006097560978,1001.0,10115.0,0.4577042923051575,0.002763018065887354,151,120,9
Backfill_FIFO,656,225.23724085365853,1001.0,10115.0,0.4577042923051575,0.002975557917109458,203,120,9
Wind_proxy,656,225.23724085365853,1001.0,10115.0,0.4577042923051575,0.0023379383634431457,203,120,9
PredSched_LLM,656,225.19603658536587,1001.0,10115.0,0.4577042923051575,0.0023379383634431457,151,120,9
FIFO,656,173.8072865853659,928.75,10115.0,0.2306399901136925,0.016304347826086956,0,120,10
QSSF_proxy,656,168.17161585365855,911.25,10115.0,0.2306399901136926,0.028903162055335968,12,120,10
RF_SRPT_proxy,656,168.17161585365855,911.25,10115.0,0.2306399901136926,0.028903162055335968,12,120,10
Backfill_FIFO,656,168.70974085365853,911.25,10115.0,0.2306399901136926,0.0029644268774703555,47,120,10
Wind_proxy,656,168.75853658536587,911.25,10115.0,0.23063999011369252,0.002223320158102767,54,120,10
PredSched_LLM,656,172.39725609756098,911.25,10115.0,0.23063999011369252,0.010622529644268774,20,120,10
FIFO,656,130.39448170731708,453.5,6257.0,0.25428205076980437,0.005643075476134493,0,120,11
QSSF_proxy,656,130.07283536585368,453.5,6257.0,0.25428205076980437,0.005878203620973431,4,120,11
RF_SRPT_proxy,656,130.07283536585368,453.5,6257.0,0.25428205076980437,0.005878203620973431,4,120,11
Backfill_FIFO,656,129.66582317073173,453.5,6257.0,0.25428205076980437,0.005643075476134493,16,120,11
Wind_proxy,656,129.66582317073173,453.5,6257.0,0.25428205076980437,0.005878203620973431,16,120,11
PredSched_LLM,656,130.02097560975608,453.5,6257.0,0.25428205076980437,0.006348459910651305,2,120,11
FIFO,656,103.12283536585366,424.25,5583.0,0.25755462452982264,0.006053550640279395,0,120,12
QSSF_proxy,656,102.9582012195122,424.25,5583.0,0.25755462452982264,0.019557625145518044,6,120,12
RF_SRPT_proxy,656,102.9582012195122,424.25,5583.0,0.25755462452982264,0.019557625145518044,6,120,12
Backfill_FIFO,656,102.9582012195122,424.25,5583.0,0.25755462452982264,0.006519208381839348,20,120,12
Wind_proxy,656,102.97496951219513,424.25,5583.0,0.25755462452982264,0.005355064027939465,20,120,12
PredSched_LLM,656,105.18838414634146,439.25,5583.0,0.2575546245298226,0.010942956926658906,13,120,12
FIFO,656,138.8257012195122,535.25,9047.0,0.28183581228584054,0.020349595617010174,0,120,13
QSSF_proxy,656,132.73274390243904,535.25,9047.0,0.2818358122858406,0.004696060527002348,10,120,13
RF_SRPT_proxy,656,132.73274390243904,535.25,9047.0,0.2818358122858406,0.004696060527002348,10,120,13
Backfill_FIFO,656,132.9933841463415,535.25,9047.0,0.28183581228584065,0.020088703365510045,35,120,13
Wind_proxy,656,133.02387195121955,535.25,9047.0,0.28183581228584065,0.016697104096008348,38,120,13
PredSched_LLM,656,132.71900914634148,535.25,9047.0,0.2818358122858406,0.003652491521001826,9,120,13
FIFO,656,93.94634146341464,309.5,6257.0,0.25956928240370797,0.00741962077493817,0,120,14
QSSF_proxy,656,93.05762195121952,295.0,6257.0,0.2595692824037079,0.007694421544380325,6,120,14
RF_SRPT_proxy,656,93.05762195121952,295.0,6257.0,0.2595692824037079,0.007694421544380325,6,120,14
Backfill_FIFO,656,92.77408536585367,309.5,6257.0,0.2595692824037079,0.007694421544380325,25,120,14
Wind_proxy,656,92.77408536585367,309.5,6257.0,0.2595692824037079,0.007694421544380325,25,120,14
PredSched_LLM,656,93.05762195121952,295.0,6257.0,0.2595692824037079,0.006320417697169552,6,120,14
FIFO,656,332.4235060975611,1280.0025,9462.0,0.3079306083985062,0.004733727810650888,0,120,15
QSSF_proxy,656,159.66725609756097,863.5,9047.0,0.3220558656644929,0.0021301775147928993,107,120,15
RF_SRPT_proxy,656,159.66725609756097,863.5,9047.0,0.3220558656644929,0.0021301775147928993,104,120,15
Backfill_FIFO,656,159.6733536585366,863.5,9047.0,0.3220558656644929,0.002366863905325444,131,120,15
Wind_proxy,656,160.71759146341464,863.5,9824.0,0.29658381684310536,0.002366863905325444,139,120,15
