policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,boot_rep
Backfill_FIFO,477,248.18633123689727,1440.0,10528.0,0.5215429331306989,0.004534542544678581,252,120,18
RF_SRPT_proxy,477,248.06482180293503,1440.0,10528.0,0.5215429331306989,0.020005334755934915,172,120,18
FIFO,622,205.46819935691317,775.249999999999,10115.0,0.3559869006426099,0.002777777777777778,0,120,19
Backfill_FIFO,622,185.5739871382637,775.249999999999,10115.0,0.3559869006426099,0.002777777777777778,71,120,19
RF_SRPT_proxy,622,188.73154340836012,776.0,10115.0,0.35598690064260996,0.015384615384615385,30,120,19
FIFO,861,87.1943786295006,359.0,6257.0,0.42220059033882057,0.008142438388882858,0,120,20
Backfill_FIFO,861,83.53276422764226,340.0,6257.0,0.4222005903388206,0.008251004234067962,140,120,20
RF_SRPT_proxy,861,83.0902787456446,340.0,6257.0,0.4222005903388206,0.0020627510585169906,45,120,20
FIFO,806,160.3840818858561,622.0,10115.0,0.36465248805404504,0.0051497725517122995,0,120,21
Backfill_FIFO,806,140.00918114143923,622.0,10115.0,0.36465248805404504,8.582954252853832e-05,209,120,21
RF_SRPT_proxy,806,137.86781637717124,622.0,10115.0,0.36465248805404504,0.0,76,120,21
FIFO,702,121.57155270655272,406.0,9047.0,0.22309383059761995,0.006430868167202572,0,120,22
Backfill_FIFO,702,119.98180911680913,406.0,9047.0,0.22309383059761995,0.006201194304088195,19,120,22
RF_SRPT_proxy,702,120.7553133903134,406.0,9047.0,0.22309383059761995,0.01906293063849334,8,120,22
FIFO,401,162.48775561097256,898.0,10115.0,0.2362646554209919,0.01500441306266549,0,120,23
Backfill_FIFO,401,162.48775561097256,898.0,10115.0,0.2362646554209919,0.01500441306266549,0,120,23
RF_SRPT_proxy,401,162.48775561097256,898.0,10115.0,0.2362646554209919,0.01500441306266549,0,120,23
FIFO,264,299.0891287878788,1454.0,10115.0,0.3091763480392157,0.010108303249097473,0,120,24
Backfill_FIFO,264,298.87700757575755,1454.0,10115.0,0.3091763480392157,0.010108303249097473,3,120,24
RF_SRPT_proxy,264,298.9075757575758,1454.0,10115.0,0.3091763480392157,0.0,9,120,24
FIFO,534,119.1701872659176,753.0,10115.0,0.16470171774592196,0.005949161709031909,0,120,25
Backfill_FIFO,534,119.1383520599251,753.0,10115.0,0.16470171774592196,0.005949161709031909,5,120,25
RF_SRPT_proxy,534,119.1383520599251,753.0,10115.0,0.16470171774592196,0.02082206598161168,1,120,25
FIFO,593,172.98239460370996,761.0,6267.0,0.49513870937716103,0.0030441400304414,0,120,26
Backfill_FIFO,593,150.05816188870153,687.7999999999979,6257.0,0.4959300450162485,0.0030441400304414,77,120,26
RF_SRPT_proxy,593,154.63826306913998,748.0,6257.0,0.49593004501624843,0.018011161846778284,38,120,26
FIFO,630,153.2355873015873,559.5499999999963,10115.0,0.22673742173339914,0.007357102433503113,0,120,27
Backfill_FIFO,630,153.2355873015873,559.5499999999963,10115.0,0.22673742173339914,0.007357102433503113,0,120,27
RF_SRPT_proxy,630,153.2355873015873,559.5499999999963,10115.0,0.22673742173339914,0.007357102433503113,0,120,27
FIFO,656,125.87782012195123,663.25,9047.0,0.2280948507332081,0.013734567901234567,0,120,28
Backfill_FIFO,656,125.09580792682928,663.25,9047.0,0.2280948507332081,0.013734567901234567,59,120,28
RF_SRPT_proxy,656,125.10810975609756,663.25,9047.0,0.2280948507332081,0.005092592592592593,17,120,28
FIFO,665,127.94212030075187,622.0,10115.0,0.2715229403526115,0.006591840370568323,0,120,29
Backfill_FIFO,665,124.21658646616541,622.0,10115.0,0.27152294035261154,0.0013361838588989846,114,120,29
RF_SRPT_proxy,665,123.38810526315788,622.0,10115.0,0.27152294035261154,0.0013361838588989846,56,120,29
FIFO,619,156.62358642972535,649.6000000000013,10115.0,0.31054228353105945,0.007959067652075043,0,120,30
Backfill_FIFO,619,156.62358642972535,649.6000000000013,10115.0,0.31054228353105945,0.007959067652075043,0,120,30
RF_SRPT_proxy,619,156.62358642972535,649.6000000000013,10115.0,0.31054228353105945,0.007959067652075043,0,120,30
FIFO,1012,92.33721343873519,340.0,9047.0,0.2129460145628385,0.005917159763313609,0,120,31
Backfill_FIFO,1012,92.33721343873519,340.0,9047.0,0.2129460145628385,0.005917159763313609,0,120,31
RF_SRPT_proxy,1012,92.33721343873519,340.0,9047.0,0.2129460145628385,0.005917159763313609,0,120,31
FIFO,746,331.48159517426274,1021.0100000000002,10115.0,0.4520886482534191,0.0033298647242455777,0,120,32
Backfill_FIFO,746,248.15758713136728,930.5,10115.0,0.45208864825341905,0.00437044745057232,147,120,32
