n_hosts,n_jobs,Backfill_minus_FIFO_mean,Backfill_minus_FIFO_ci,pct_reps_Backfill_beats_FIFO,RF_SRPT_minus_Backfill_mean,RF_SRPT_minus_Backfill_ci,pct_reps_RF_SRPT_beats_Backfill
120,651,-62.430632155657975,"(-699.4008003072196, -4.377880184520887e-05)",97.33333333333334,-0.2625048131080391,"(-3.4903609831029003, 1.1367895545314826)",44.0
64,651,-3150.6188393753205,"(-5721.776195084486, -596.610796082952)",100.0,8.572432206861235,"(-49.425791474654446, 69.37348079877111)",24.666666666666668
