host_ip,observed_max_gpu,capacity,DSW,PSW,ASW
164faa3f8f38544a85d5e3837a1fafab85a1b334bd7a715102d886febf1a8b55,8.0,8,G6,P12,S5
177a169afce31395109b10221ef63a3e393522960d3f118c53b9a449df95c22e,8.0,8,G6,P12,S7
179dbe403a8beb9804bb4a780f007d19285046867c40ac9281009db975190293,8.0,8,G6,P10,S47
17a729f373f887a0797ed5ca33bcb39ed00934e5eefa3b6d1d4d14354a44af1c,8.0,8,G6,P12,S21
1875bc137b53a889787cad0b5cab8fc9becf6011ba1348277daecf5bd6f01481,8.0,8,G6,P12,S1
1905bd6a76e065a021eb28015d92ceef3643ad80fcb1e8b150ca3c31116c246f,8.0,8,G6,P8,S28
1a2b4bd7abc90203123a9a9a9e6e0b795b6a3fe8354a13b667fffa3a3e32f93f,8.0,8,UNKNOWN_DC,UNKNOWN_POD,UNKNOWN_RACK
1bd9b47c38bf7b6be89b4d0fee585719a541088fe9e96c7e03118cb8ef8ace80,8.0,8,G6,P8,S31
1c74732b33a61dba50c4e4e2171164f76d579adabc890c644b5b0854a1cdd6a9,8.0,8,G6,P12,S29
1ca19e52aa37579860b9620bf10f4aae30b9eeb2d317734334ec8b4cd4f9b480,8.0,8,G6,P12,S12
1ceb004834dcec0b192aebba30538d02e8c6fdcd3cb3b0d86b21a7d388534656,8.0,8,G6,P10,S3
1d0008ef76f3e579359041694f8044cf49f71e0639a825b7970b99d723f76347,8.0,8,G6,P10,S21
1d0ae827ce45f75bedd7da428919488ee77bf409ba2d1f20b391ff30ba370364,8.0,8,G6,P12,S4
1de0326784e9416429013a19de3a4fd1dc1ecdb77a764e6beb5f5ddafbb4ffb5,8.0,8,G6,P12,S22
1e76afa8006b4cd83883d51223d2d2b1685a0af41c372a5f5e7d8708f19e99f1,8.0,8,G6,P12,S20
1f7195133a95480ccbfcc9767dbd4aea7cceb5de35cb8ca73c45bf533cc34f8c,8.0,8,G6,P12,S27
1f7e5605b8d4495b599e681713000d20cbd050ca40b1f4011ba385cbdd55ce1e,8.0,8,G6,P12,S21
2011ac7bc5f6dd80b569d113c497ff66797a0716df4273d70ec0cb5f668b974b,8.0,8,G6,P12,S28
201a313e8d65ccfeae118c945499735dbbab47ac485a413f6e783d97939de317,8.0,8,G6,P10,S12
205d9143a8b6af5bbc3c9fd6b6092008f3e21c8ddc085a0838478e07bbf1dbe9,8.0,8,G6,P12,S7
208431ce81c231a263cd0f2fb39ab4065494571da8bb0bb06d6a30f51b848510,8.0,8,G6,P10,S11
20f84fddfffbbfab682c87ff269c5bf833c2ecdf72615f6dd87ceeccbcfa6acb,4.0,8,G6,P8,S32
221d0ddc18e88e2e15b50a92d097a518cf8667bbfdc9f9a687f4352e30739bfb,8.0,8,G6,P12,S23
222d3030f8c5f598978ff6acf406845343629ade4c61ad5f3c9dbc2854016b12,8.0,8,G6,P10,S4
22640276c6b09bfaf268cc10efe01e962814e98447dd20b95f0b5e77e2f69be9,8.0,8,G6,P12,S10
2264c01fc56659d2ce97b95c5fbe498b3c71fe260e8bb9c5c4c7e28879e13daf,8.0,8,G6,P10,S14
228dfdb22522384b5c4fbd06fbfa432a74835255ee915d5802ee37d28bbf28bc,8.0,8,G6,P12,S8
232d8451f6ad9dd5fcf5b0044b632d7b09330fc6fc06bd5bde7bd633fe3a9552,8.0,8,G6,P12,S1
234e7338df053347a2fd0326e568ac3422c6d549086fa72cab8182b922f625b3,8.0,8,G6,P10,S41
24378d33a044a3185734a913bd61d5ba26395e8e157273eed341de248319d967,8.0,8,G6,P12,S6
2446b0d2235477c4ed62883b1b2aee8f6bc01c73c71053a5073dc1a344ba25b2,8.0,8,UNKNOWN_DC,UNKNOWN_POD,UNKNOWN_RACK
248fba2526f4a63865e92fcfc7d4b7b481de3b25804e7aa623bb6246055cedb7,8.0,8,G6,P10,S24
2515d95f040ae48b85c2412b1b7ba556f2e3f4fd1d878a6096a331247b0c2285,8.0,8,G6,P12,S14
251ce57e81b00c7363ce835bf27425562f738ad7625b3f8113c486bbea128fc9,8.0,8,G6,P10,S8
2551282ca30cf0cd3752f29b504d08b30d195a546e70cab94a079b1b2d8986f5,8.0,8,G6,P12,S31
259aa2ed0c99c78cd5c5850d86dfab54a505dff5d9dfbfa285a0b10dfe370e95,8.0,8,G6,P10,S19
25cd87195d28082632367adf0bc728505dbced73be539912c01c0224a88922e4,8.0,8,UNKNOWN_DC,UNKNOWN_POD,UNKNOWN_RACK
2626282c91f81af7497110f2cc9603cc582ebe68c3717125701b4342e9205e98,8.0,8,UNKNOWN_DC,UNKNOWN_POD,UNKNOWN_RACK
2645ffe98457a2c58fca6c89d40117c6e63ad5616965aa5d701d54e2418b484b,8.0,8,G6,P10,S43
26e33b950eaeba3c227234b22a34c25a3835011203d70214c288e5ba5222b651,8.0,8,G6,P10,S8
271c23fc3a288d5c9798ce176fb047de90f4e8abf4c8a08b2be12b4b28c50e13,8.0,8,G6,P8,S27
277eefcbed2b5bb00195e2490dc251470638b47d017b5a3e3c7c2551b4b4fba6,8.0,8,G6,P12,S5
27c402406da1f88416e3365ee26ba598bdd0817a8bee7c175bccf20e2d9c8ceb,8.0,8,G6,P10,S27
2bbe5ebba996402aad6612b64010b03a00d468b6b50eebdc5be6ad8e9f3331b2,8.0,8,G6,P12,S21
2ce7485238919c9286823e31d01f703772c0e9f59ec752e17467a4fc2850e85a,8.0,8,G6,P10,S41
2d1f3f74639b00279140135610e4d4cce920754951735fbdba524f6b1b94a5d5,8.0,8,G6,P8,S22
2d9f28f2d29efd67fcf88b46579d32e6294ce903364b9de49c6e970b50256407,8.0,8,G6,P10,S22
2db990f7cfe7d9aff4fc1b444d122ed05b4517ce05426a8b25e4a7a64c9ff1fb,8.0,8,G6,P10,S3
2dd82b2f3541744d4ada6c643cae2abb64bfdcf1c3c95329098212d448c374df,8.0,8,G6,P10,S16
