policy,avg_jct_mean,avg_jct_std,p95_jct_mean,p95_jct_std,util_mean,util_std,frag_mean,frag_std
FIFO,142.14425304878048,0.0,602.5,0.0,0.25914624835228217,0.0,0.005649717514124294,0.0
Pollux_proxy,135.95673780487803,0.0,602.5,0.0,0.2591462483522821,0.0,0.005404077622205846,0.0
PredSched_LLM,136.18263719512197,0.6348489672813397,602.5,0.0,0.25914624835228206,0.0,0.011839842790469172,0.0006116383983290955
QSSF_proxy,134.70064024390243,0.0,602.5,0.0,0.2591462483522821,0.0,0.01989683124539425,0.0
RF_SRPT_proxy,134.70064024390243,0.0,602.5,0.0,0.2591462483522821,0.0,0.01989683124539425,0.0
Wind_proxy,136.12380792682927,0.2170131503801301,602.5,0.0,0.25914624835228206,2.7755575615628914e-17,0.005453205600589536,0.00010985349926307012
